번호,k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",kapt도로명주소,주소(시도)k-apt주소split,주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-전화번호,k-팩스번호,단지소개기존clob,단지첨부파일,k-세대타입(분양형태),k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-홈페이지,k-등록일자,k-수정일자,고용보험관리번호,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,기타/의무/임대/임의=1/2/3/4,단지승인일,사용허가여부,관리비 업로드,좌표X,좌표Y,단지신청일,LNNO_ADRES,SCHUL_ADRES,TOTL_NWSTD_CNT,SCHUL_DIST,SCHUL_CROSS,초품아
750,A13790713,신반포청구,아파트,서울특별시 서초구 신반포로33길 66,서울,서초구,잠원동,63-2,신반포로33길,66,025955934,025945934,,FILE_000000000028589,분양,위탁관리,계단식,개별난방,2.0,347,청구건설,신반포청구 연합주택조합,1998-01-24 00:00:00.0,40630.0,26047.0,34550.0,136.0,211.0,0.0,,신반포청구.apti.co.kr/,,2026-02-09 06:07:01.0,90700321231,직영,단일계약,위탁,34549.53,349.0,의무,2017-09-07 16:29:15.0,Y,N,127.0084378,37.5142848,2013-03-07 09:46:52.0,서울특별시 서초구 잠원동 63-2,서울특별시 서초구 잠원동 72,170.0,,,N
751,A13982002,상계한신3차,아파트,서울특별시 노원구 한글비석로46가길 34,서울,노원구,상계동,458,한글비석로46가길,34,029350866,0262230866,,,분양,위탁관리,혼합식,개별난방,5.0,348,한신공용(주),한신공영(주),1990-05-28 00:00:00.0,34010.0,26250.0,33045.0,0.0,348.0,0.0,,,,2026-02-09 04:52:31.0,90700313861,직영,종합계약,위탁,0.0,290.0,의무,2013-06-23 12:38:36.0,Y,N,127.0675578,37.6662959,2013-03-07 09:46:44.0,서울특별시 노원구 상계동 458,서울특별시 노원구 상계동 638,51.0,,,N
752,A13281201,도봉서울가든,아파트,서울특별시 도봉구 도봉산길 35,서울,도봉구,도봉동,02)955-5954,도봉산길,35,029555954,029546066,,,분양,자치관리,복도식,개별난방,3.0,348,삼익건설,삼익건설,1987-07-18 00:00:00.0,34513.0,26215.0,34452.0,0.0,348.0,0.0,,gardenapti.co.kr,,2026-02-09 04:46:08.0,90901413101,위탁,단일계약,위탁,2882.53,300.0,의무,2017-12-23 10:34:27.0,Y,N,127.0415817,37.6868254,2013-03-07 09:46:44.0,서울특별시 도봉구 도봉동 555,서울특별시 도봉구 도봉동 429-1,27.0,,,N
753,A15786420,염창신동아,아파트,서울특별시 강서구 양천로67길 32,서울,강서구,염창동,,양천로67길,32,0236622827,0236611702,,,분양,위탁관리,혼합식,개별난방,3.0,348,신동아건설,조흥은행 주택조합,1995-12-13 00:00:00.0,38942.0,25128.0,32102.0,176.0,172.0,0.0,,www.ycsda.com,,2026-02-09 05:22:57.0,1998-049002-9,위탁,,위탁,2781.14,291.0,의무,2013-06-23 10:51:18.0,Y,N,126.869209,37.5551935,2013-03-07 09:46:45.0,서울특별시 강서구 염창동 289,서울특별시 강서구 염창동 79,97.0,,,N
754,A15081001,래미안당산1차아파트,아파트,서울특별시 영등포구 당산로54길 11,서울,영등포구,당산동,374,당산로54길,11,0226355998,0266735998,40.0,FILE_000000000185516,분양,자치관리,계단식,개별난방,4.0,348,삼성건설,삼성건설,1995-05-30 00:00:00.0,43332.0,28639.0,37753.0,128.0,144.0,76.0,,,,2026-02-09 05:46:29.0,10780009810,직영,단일계약,직영,0.0,342.0,의무,2015-04-14 09:54:38.0,Y,N,126.9059115,37.5343799,2013-03-07 09:46:45.0,서울특별시 영등포구 당산동 374,서울특별시 영등포구 당산동 121-22,61.0,,,N
755,A13527008,도곡경남,아파트,서울특별시 강남구 논현로 209,서울,강남구,도곡동,967,논현로,209,0234612518,0262072517,,,분양,위탁관리,혼합식,개별난방,4.0,348,경남기업,경남기업,2005-06-02 00:00:00.0,44282.0,27618.0,35518.0,120.0,192.0,36.0,,,,2026-02-09 06:21:57.0,91001221751,직영,종합계약,위탁,0.0,397.0,의무,2013-06-23 14:25:22.0,Y,N,127.0408208,37.4886314,2013-03-07 09:46:45.0,서울특별시 강남구 도곡동 967,서울특별시 강남구 도곡동 922,181.0,,,N
756,A13403002,성내성안청구,아파트,서울특별시 강동구 풍성로 114-1,서울,강동구,성내동,성안마을청구아파트,풍성로,114-1,024702694,024702695,448.0,,분양,위탁관리,혼합식,개별난방,2.0,349,청구,럭키외 5개조합,2002-07-25 00:00:00.0,44460.0,24792.0,33434.0,180.0,169.0,0.0,,,,2026-02-09 06:35:13.0,90700067011,위탁,단일계약,위탁,2250.18,343.0,의무,2017-08-03 08:48:24.0,Y,N,127.1241393,37.5317809,2013-03-07 09:46:45.0,서울특별시 강동구 성내동 295,서울특별시 강동구 성내동 300-3,101.0,,,N
757,A15786321,염창관음삼성,아파트,서울특별시 강서구 양천로 656,서울,강서구,염창동,268,양천로,656,0236650619,0236652058,4.0,,분양,위탁관리,계단식,개별난방,3.0,350,(주)삼성건설,(주)삼성건설,1997-08-01 00:00:00.0,40194.0,27029.0,35379.0,156.0,154.0,40.0,,,,2026-02-09 05:22:47.0,90700286221,직영,단일계약,위탁,2216.92,327.0,의무,2013-06-23 10:51:14.0,Y,N,126.8694898,37.5525192,2013-03-07 09:46:47.0,서울특별시 강서구 염창동 268,서울특별시 강서구 염창동 269,130.0,,,N
758,A13010002,장안삼성쉐르빌,주상복합,서울특별시 동대문구 장한로 119,서울,동대문구,장안동,장안삼성쉐르빌,장한로,119,0222136718,0222136719,,,분양,위탁관리,계단식,개별난방,1.0,254,삼성중공업,삼성중공업,2002-08-05 00:00:00.0,75865.0,28570.0,38582.0,0.0,0.0,249.0,,,,2026-02-09 04:24:35.0,,위탁,단일계약,위탁,0.0,614.0,의무,2016-11-22 10:32:57.0,Y,N,127.0698761,37.5716753,2013-03-07 09:46:47.0,서울특별시 동대문구 장안동 371-1,서울특별시 동대문구 답십리동 2-24,74.0,,,N
759,A13613201,하월곡샹그레빌,아파트,서울특별시 동대문구 회기로5길 100,서울,성북구,하월곡동,224,회기로5길,100,029191049,029189836,,,분양,위탁관리,계단식,개별난방,4.0,352,삼호,도시개발공사,2004-07-07 00:00:00.0,51371.0,28033.0,50736.0,0.0,352.0,0.0,,,,2026-02-09 04:38:01.0,20982622160,위탁,단일계약,위탁,0.0,384.0,의무,2016-05-31 14:59:32.0,Y,N,127.0414399,37.5965132,2013-03-07 09:46:47.0,서울특별시 동대문구 청량리동 949 샹그레빌,,,,,N
760,A13082501,이문삼익아파트,아파트,서울특별시 동대문구 한천로55길 9,서울,동대문구,이문동,73,한천로55길,9,029694751,029694752,222.0,,분양,위탁관리,혼합식,개별난방,2.0,353,(주) 삼익,삼익건설,1997-12-30 00:00:00.0,46031.0,28560.0,36707.0,150.0,125.0,78.0,,,,2026-02-09 04:26:28.0,20589006530,위탁,단일계약,위탁,2366.19,348.0,의무,2016-04-25 14:45:11.0,Y,N,127.067574,37.5959326,2013-03-07 09:46:47.0,서울특별시 동대문구 이문동 73,서울특별시 동대문구 이문동 358-34,122.0,,,N
761,A15807702,목동2차삼성래미안,아파트,서울특별시 양천구 목동남로4길 81,서울,양천구,신정동,1295,목동남로4길,81,0267341840,0226521840,1786.0,,분양,위탁관리,혼합식,지역난방,6.0,353,삼성물산,삼성물산,2001-11-06 00:00:00.0,49804.0,27498.0,27498.0,179.0,104.0,70.0,,,,2026-02-09 05:15:06.0,907-00-06810-1,위탁,,위탁,3408.02,409.0,의무,2013-05-27 13:46:49.0,Y,N,126.8682994,37.5104913,2013-03-07 09:46:47.0,서울특별시 양천구 신정동 1295,서울특별시 양천구 신정동 330-10,117.0,,,N
762,A15722005,마곡 한진해모로,아파트,서울특별시 강서구 양천로24가길 59,서울,강서구,방화동,579번지,양천로24가길,59,0226617580,0226617581,4.0,,분양,위탁관리,혼합식,개별난방,6.0,354,한진중공업,한진중공업,2004-05-11 00:00:00.0,45505.0,27022.0,34318.0,121.0,233.0,0.0,,없음,,2026-02-09 05:30:00.0,10982634390,위탁,단일계약,위탁,3831.52,366.0,의무,2013-06-23 10:51:10.0,Y,N,126.8133457,37.5714296,2013-03-07 09:46:47.0,서울특별시 강서구 방화동 579 마곡,,,,,N
764,A14320302,구의강변우성,아파트,서울특별시 광진구 구의강변로 42,서울,광진구,구의동,546-7,구의강변로,42,024465274,024460946,,,분양,위탁관리,계단식,개별난방,3.0,354,우성건설(주),MBC외 6개 직장조합,1992-12-26 00:00:00.0,38674.0,30005.0,38618.0,0.0,354.0,0.0,,apti.co.kr,,2026-02-09 04:18:24.0,20682612560,직영,단일계약,위탁,0.0,235.0,의무,2015-01-22 11:12:13.0,Y,N,127.0933387,37.5358159,2013-03-07 09:46:47.0,서울특별시 광진구 구의동 546-7,서울특별시 광진구 구의동 587-95,85.0,,,N
765,A13406005,둔촌프라자,아파트,서울특별시 강동구 천호대로 1240,서울,강동구,둔촌동,프라자아파트,천호대로,1240,024861400,0264866105,,,분양,위탁관리,계단식,개별난방,4.0,354,태평양건설,000,1984-12-10 00:00:00.0,41989.0,34144.0,34144.0,0.0,174.0,180.0,,,,2026-02-09 06:34:17.0,,직영,단일계약,위탁,0.0,542.0,의무,2019-10-04 10:19:13.0,Y,N,127.1482561,37.535417,2013-03-07 09:46:47.0,서울특별시 강동구 둔촌동 603,서울특별시 강동구 둔촌동 91-17,81.0,,,N
766,A14319010,한강우성아파트,아파트,서울특별시 광진구 능동로1길 15,서울,광진구,자양동,87-1,능동로1길,15,024676519,024676517,,,분양,위탁관리,계단식,개별난방,2.0,355,(주)우성건설,(주)우성건설,1993-12-21 00:00:00.0,41688.0,30076.0,39901.0,0.0,355.0,0.0,,,,2026-02-09 04:20:24.0,98-007783-7800-1202,직영,단일계약,위탁,0.0,230.0,의무,2013-05-29 11:03:13.0,Y,N,127.0657325,37.532579,2013-03-07 09:46:49.0,서울특별시 광진구 자양동 87-1,서울특별시 광진구 자양동 504,88.0,,,N
767,A13607302,안암대광,아파트,서울특별시 성북구 안암로9나길 14,서울,성북구,안암동3가,대광아파트,안암로9나길,14,029260776,029255481,,,분양,자치관리,계단식,개별난방,7.0,346,오진개발,오진개발,1971-12-09 00:00:00.0,21534.0,18144.0,21478.0,288.0,57.0,1.0,,공동주택 통합정보마당,,2026-02-09 04:33:51.0,209-80-01684,직영,단일계약,직영,0.0,100.0,의무,2019-06-12 14:55:58.0,Y,N,127.0217182,37.5847251,2013-03-07 09:46:49.0,서울특별시 성북구 안암동3가 136-1,서울특별시 성북구 안암동2가 93,41.0,,,N
768,A13610103,정릉힐스테이트,아파트,서울특별시 성북구 정릉로 292,서울,성북구,정릉동,정릉힐스테이트,정릉로,292,029095556,029095508,,,분양,위탁관리,계단식,개별난방,7.0,355,현대건설,현대건설,2004-12-23 00:00:00.0,38940.0,29122.0,38817.0,41.0,314.0,0.0,,,,2026-02-09 04:34:45.0,907-00-27978-1,위탁,종합계약,위탁,0.0,397.0,의무,2016-05-02 14:33:19.0,Y,N,127.0155119,37.60284,2013-03-07 09:46:49.0,서울특별시 성북구 정릉동 1025,서울특별시 성북구 정릉동 173-1,129.0,,,N
769,A15283706,고척동아한신,아파트,서울특별시 구로구 중앙로6길 17,서울,구로구,고척동,동아한신아파트,중앙로6길,17,0226129787,0226139787,,,분양,위탁관리,혼합식,개별난방,4.0,355,동아건설산업(주),동아건설산업(주),2000-04-19 00:00:00.0,46656.0,30522.0,39183.0,113.0,161.0,81.0,,,,2026-02-09 05:36:30.0,90700317591,위탁,단일계약,위탁,0.0,448.0,의무,2015-09-25 10:43:55.0,Y,N,126.8656221,37.5006992,2013-03-07 09:46:49.0,서울특별시 구로구 고척동 327 고척동,,,,,N
770,A10085902,중림삼성래미안아파트,아파트,서울특별시 중구 중림로4길 41,서울,중구,중림동,201번지,중림로4길,41,023623041,023633706,552.0,,임대,위탁관리,복도식,개별난방,2.0,355,삼성물산(주),충정1-3지구 재개발조합,2001-07-11 00:00:00.0,23896.0,11214.0,11214.0,355.0,0.0,0.0,,www.i-sh.co.kr,,2026-02-09 04:08:13.0,907-00-34189-1,위탁,종합계약,위탁,7228.53,253.0,임대,2013-11-21 16:43:14.0,Y,N,126.9643574,37.5573531,2013-03-07 09:46:49.0,서울특별시 중구 중림동 201,,,,,N
771,A15786222,염창태진한솔,아파트,서울특별시 강서구 공항대로71길 54,서울,강서구,염창동,263,공항대로71길,54,0236648810,0267388810,4.0,FILE_000000000020846,분양,자치관리,혼합식,개별난방,5.0,356,태진건설,태진건설,1994-10-05 00:00:00.0,37682.0,26755.0,34294.0,178.0,120.0,58.0,,,,2026-02-09 05:22:34.0,109-80-01782-0,직영,단일계약,직영,2856.0,313.0,의무,2016-11-04 16:58:55.0,Y,N,126.874488,37.5488942,2013-03-07 09:46:49.0,서울특별시 강서구 염창동 263,서울특별시 강서구 염창동 269,130.0,,,N
772,A12284501,삼성타운아파트,아파트,서울특별시 은평구 서오릉로 94,서울,은평구,대조동,삼성타운아파트,서오릉로,94,023877763,023878890,,,분양,위탁관리,혼합식,개별난방,2.0,357,삼성건설주식회사,삼성건설주식회사,1997-11-04 00:00:00.0,50756.0,25505.0,34625.0,240.0,82.0,35.0,,,,2026-02-09 04:58:12.0,90700296891,직영,단일계약,위탁,1294.92,383.0,의무,2016-04-12 11:44:42.0,Y,N,126.9217449,37.609112,2013-03-07 09:46:51.0,서울특별시 은평구 대조동 231,서울특별시 은평구 대조동 82-5,8.0,,,N
773,A14383901,군자일성파크,아파트,서울특별시 광진구 군자로12길 46,서울,광진구,군자동,99번지,군자로12길,46,0234090175,0234090171,,,분양,위탁관리,복도식,개별난방,2.0,357,일성건설,일성건설,1996-03-09 00:00:00.0,42443.0,26614.0,36479.0,170.0,165.0,22.0,,,,2026-02-09 04:21:37.0,907-00-31173-1,위탁,단일계약,위탁,36485.0,362.0,의무,2013-05-20 11:18:45.0,Y,N,127.0726402,37.551275,2013-03-07 09:46:51.0,서울특별시 광진구 군자동 99,서울특별시 광진구 군자동 365,54.0,,,N
774,A13406204,둔촌신동아,아파트,서울특별시 강동구 양재대로96길 79,서울,강동구,둔촌동,555,양재대로96길,79,024769580,024762030,,,분양,위탁관리,혼합식,개별난방,3.0,357,신동아건설(주),신동아건설(주),2002-11-15 00:00:00.0,50289.0,26045.0,26047.0,149.0,182.0,26.0,,,,2026-02-09 06:34:25.0,212-80-03301-0,위탁,종합계약,직영,0.0,0.0,의무,2015-08-11 13:42:31.0,Y,N,127.1417216,37.529157,2013-03-07 09:46:51.0,서울특별시 강동구 둔촌동 555,서울특별시 강동구 둔촌동 149,78.0,,,N
775,A13981606,상계대동아파트,아파트,서울특별시 노원구 상계로26길 20,서울,노원구,상계동,1284 상계대동아파트 관리사무소,상계로26길,20,029311178,029311688,,FILE_000000000025918,분양,위탁관리,계단식,개별난방,3.0,358,대동주택(주),대동주택(주),2001-05-22 00:00:00.0,51435.0,29446.0,38134.0,145.0,124.0,89.0,,,,2026-02-09 04:52:20.0,907-00-27889-1,위탁,단일계약,위탁,2196.13,417.0,의무,2013-06-23 12:38:33.0,Y,N,127.0712567,37.6573591,2013-03-07 09:46:51.0,서울특별시 노원구 상계동 1284,서울특별시 노원구 중계동 449-2,79.0,,,N
775,A13981606,상계대동아파트,아파트,서울특별시 노원구 상계로26길 20,서울,노원구,상계동,1284 상계대동아파트 관리사무소,상계로26길,20,029311178,029311688,,FILE_000000000025918,분양,위탁관리,계단식,개별난방,3.0,358,대동주택(주),대동주택(주),2001-05-22 00:00:00.0,51435.0,29446.0,38134.0,145.0,124.0,89.0,,,,2026-02-09 04:52:20.0,907-00-27889-1,위탁,단일계약,위탁,2196.13,417.0,의무,2013-06-23 12:38:33.0,Y,N,127.0712567,37.6573591,2013-03-07 09:46:51.0,서울특별시 노원구 상계동 1284,서울특별시 노원구 상계동 402-1,37.0,,,N
776,A12012201,DMC래미안클라시스,아파트,서울특별시 서대문구 증가로 191,서울,서대문구,남가좌동,377-1,증가로,191,023095742,023095743,,,임대,위탁관리,계단식,개별난방,2.0,358,(주)삼성물산,(주)삼성물산,2000-12-15 00:00:00.0,22913.0,10940.0,10940.0,358.0,0.0,0.0,,,,2026-02-09 05:07:13.0,,위탁,종합계약,위탁,0.0,171.0,임대,2013-11-19 11:26:27.0,Y,N,126.9160723,37.5786616,2013-03-07 09:46:51.0,서울특별시 서대문구 남가좌동 377,서울특별시 서대문구 남가좌동 364-6,153.0,,,N
777,A15780602,가양한보구암,아파트,서울특별시 강서구 허준로 76,서울,강서구,가양동,,허준로,76,0236640511,0236652067,5.0,,분양,위탁관리,계단식,개별난방,4.0,359,(주)한보,가양동주택조합,1999-02-10 00:00:00.0,39360.0,25802.0,25802.0,181.0,178.0,0.0,,,,2026-02-09 05:27:03.0,90700081661,위탁,종합계약,위탁,2961.54,305.0,의무,2017-05-16 17:45:02.0,Y,N,126.8489731,37.5681118,2013-03-07 09:46:51.0,서울특별시 강서구 가양동 1495,서울특별시 강서구 가양동 1473,54.0,,,N
778,A13790714,강변아파트,아파트,서울특별시 서초구 잠원로 166-17,서울,서초구,잠원동,강변아파트,잠원로,166-17,025965329,025969617,,,분양,위탁관리,혼합식,지역난방,4.0,360,한신공영(주),한신공영(주),1987-07-15 00:00:00.0,35239.0,27695.0,34909.0,0.0,360.0,0.0,,,,2026-02-09 06:07:06.0,90700286381,위탁,단일계약,위탁,0.0,280.0,의무,2019-06-19 13:51:08.0,Y,N,127.0122486,37.5178181,2013-03-07 09:46:51.0,서울특별시 서초구 잠원동 53-15,서울특별시 서초구 잠원동 54-5,146.0,,,N
779,A13085901,전농동아,아파트,서울특별시 동대문구 서울시립대로 31,서울,동대문구,전농동,,서울시립대로,31,0222484278,0262154278,4.0,,분양,위탁관리,혼합식,개별난방,2.0,360,동아건설,동아건설,1997-12-22 00:00:00.0,35595.0,27072.0,35595.0,169.0,128.0,63.0,,,,2026-02-09 04:22:48.0,98-022213-8-230-1205,위탁,단일계약,위탁,2432.27,308.0,의무,2019-03-12 14:41:21.0,Y,N,127.0458375,37.5749667,2013-03-07 09:46:26.0,서울특별시 동대문구 전농동 645-2,서울특별시 동대문구 답십리동 463-13,93.0,,,N
780,A15089510,여의도은하,아파트,서울특별시 영등포구 63로 7,서울,영등포구,여의도동,52,63로,7,027833198,0266713198,4.0,,분양,자치관리,계단식,지역난방,4.0,360,한양주택개발(주),한양주택개발(주),1974-12-19 00:00:00.0,47603.0,43747.0,47603.0,0.0,0.0,360.0,,,,2026-02-09 05:44:45.0,10782692280,직영,종합계약,위탁,0.0,314.0,의무,2018-05-02 13:48:17.0,Y,N,126.9352172,37.5187571,2013-03-07 09:46:26.0,서울특별시 영등포구 여의도동 52,서울특별시 영등포구 여의도동 40-3,133.0,,,N
781,A14381506,"광장삼성1,2차",아파트,서울특별시 광진구 아차산로 544,서울,광진구,광장동,561번지,아차산로,544,024472221,024478506,,,분양,위탁관리,혼합식,개별난방,3.0,360,삼성종합건설,삼성종합건설,1987-12-29 00:00:00.0,34066.0,25738.0,34066.0,75.0,285.0,0.0,,,,2026-02-09 04:19:10.0,20780000350,직영,단일계약,직영,0.0,0.0,의무,2017-08-24 13:50:58.0,Y,N,127.1020927,37.5426383,2013-03-07 09:46:26.0,서울특별시 광진구 광장동 453-1,서울특별시 광진구 광장동 554,140.0,,,N
782,A15080604,당산유원제일1차,아파트,서울특별시 영등포구 국회대로29길 13,서울,영등포구,당산동4가,유원제일아파트,국회대로29길,13,0226762578,0262212579,,,분양,위탁관리,복도식,개별난방,5.0,360,유원건설,제일은행 조합,1983-12-15 00:00:00.0,31942.0,22610.0,31942.0,170.0,190.0,0.0,,,,2023-02-05 12:01:33.0,98-002912-1-560-1204,직영,단일계약,직영,0.0,230.0,의무,2016-09-21 14:57:00.0,Y,N,126.8955412,37.530191,2013-03-07 09:46:26.0,서울특별시 영등포구 당산동4가 91,,,,,N
783,A15089411,여의도삼익,아파트,서울특별시 영등포구 국제금융로 109,서울,영등포구,여의도동,삼익아파트 관리사무소,국제금융로,109,027861787,027861786,,,분양,자치관리,계단식,지역난방,4.0,360,삼익맨션,삼익맨션,1974-10-19 00:00:00.0,47520.0,44318.0,47520.0,0.0,0.0,360.0,,,,2026-02-09 05:44:40.0,11680017760,직영,종합계약,직영,0.0,372.0,의무,2017-08-29 10:17:15.0,Y,N,126.9343703,37.5198261,2013-03-07 09:46:26.0,서울특별시 영등포구 여의도동 51,서울특별시 영등포구 여의도동 40-3,133.0,,,N
784,A13285507,방학4단지신동아,아파트,서울특별시 도봉구 방학로 200,서울,도봉구,방학동,732 번지,방학로,200,0234913438,0234913448,,,분양,위탁관리,혼합식,개별난방,3.0,361,신동아건설,신동아건설,1995-05-27 00:00:00.0,39378.0,26398.0,37807.0,170.0,191.0,0.0,,,,2026-02-09 04:43:51.0,21082613470,위탁,종합계약,위탁,0.0,282.0,의무,2013-05-07 09:41:27.0,Y,N,127.0296648,37.6628212,2013-03-07 09:46:26.0,서울특별시 도봉구 방학동 732,서울특별시 도봉구 방학동 310,35.0,,,N
785,A15886504,신정5차현대,아파트,서울특별시 양천구 신정로 300,서울,양천구,신정동,1273,신정로,300,0226043212,0267383242,,,분양,위탁관리,계단식,지역난방,5.0,361,현대산업개발,현대산업개발,1999-11-30 00:00:00.0,68755.0,38338.0,48897.0,30.0,2.0,298.0,,신정5차현대.apti.co.kr,,2026-02-09 05:16:23.0,907-00-33330-1,위탁,종합계약,위탁,0.0,593.0,의무,2019-10-25 15:39:07.0,Y,N,126.8546141,37.5123066,2013-03-07 09:46:26.0,서울특별시 양천구 신정동 1273,서울특별시 양천구 신정동 1274,47.0,,,N
786,A12201103,응암푸르지오,아파트,서울특별시 은평구 백련산로 146,서울,은평구,응암동,176번지,백련산로,146,023513552,023853532,,,분양,자치관리,계단식,개별난방,7.0,361,대우건설,응암 제3구역 재개발조합,2008-07-17 00:00:00.0,48361.0,29519.0,36125.0,103.0,204.0,54.0,,,,2026-02-09 04:58:54.0,11080074140,직영,종합계약,직영,4027.95,422.0,의무,2013-06-23 15:16:19.0,Y,N,126.9261538,37.597442,2013-03-07 09:46:27.0,서울특별시 은평구 응암동 176,서울특별시 은평구 응암동 114-12,134.0,,,N
787,A15288805,신도림대림5차e-편한세상,아파트,서울특별시 구로구 신도림로 32,서울,구로구,신도림동,647,신도림로,32,0220693377,0220691344,,,분양,위탁관리,계단식,개별난방,6.0,362,대림산업(주),대림산업(주),2003-08-16 00:00:00.0,53027.0,30694.0,38977.0,0.0,362.0,0.0,,,,2026-02-09 05:32:42.0,90700251601,위탁,종합계약,위탁,0.0,411.0,의무,2013-06-23 11:27:20.0,Y,N,126.8811909,37.5067071,2013-03-07 09:46:27.0,서울특별시 구로구 신도림동 647 신도림5차,,,,,N
788,A12013002,DMC아이파크,주상복합,서울특별시 서대문구 거북골로14길 32,서울,서대문구,북가좌동,458,거북골로14길,32,023090133,023762810,,,기타,위탁관리,계단식,지역난방,5.0,362,현대산업개발,현대산업개발,2009-03-31 00:00:00.0,57803.0,26667.0,34713.0,151.0,140.0,71.0,,,,2026-02-09 05:06:19.0,911-00-57942-1,위탁,단일계약,위탁,3411.62,414.0,의무,2017-10-18 17:50:08.0,Y,N,126.9141298,37.5757029,2013-03-07 09:46:27.0,서울특별시 서대문구 북가좌동 458,서울특별시 서대문구 북가좌동 376-17,98.0,,,N
789,A13980108,공릉우성,아파트,서울특별시 노원구 동일로198길 24,서울,노원구,공릉동,738번지,동일로198길,24,029717155,029744696,4.0,,분양,위탁관리,혼합식,개별난방,3.0,363,우성,우성,1995-12-30 00:00:00.0,46883.0,28254.0,37555.0,161.0,139.0,63.0,,공릉우성.apti.co.kr,,2026-02-09 04:48:40.0,90700296801,위탁,단일계약,위탁,46882.7,352.0,의무,2013-06-23 12:38:29.0,Y,N,127.0727424,37.6285696,2013-03-07 09:46:27.0,서울특별시 노원구 공릉동 738,서울특별시 노원구 공릉동 371-10,61.0,,,N
790,A13824002,잠실더샵스타파크,아파트,서울특별시 송파구 올림픽로35가길 10,서울,송파구,신천동,7-14,올림픽로35가길,10,024182730,024182727,,,분양,자치관리,계단식,개별난방,3.0,213,포스코건설,포스코건설,2008-09-12 00:00:00.0,99828.0,38109.0,46066.0,0.0,0.0,0.0,,www.jsthesharp.co.kr,,2026-02-09 06:23:31.0,30581107890,위탁,종합계약,직영,0.0,801.0,의무,2016-06-08 10:17:09.0,Y,N,127.1023024,37.5169868,2013-03-07 09:46:27.0,서울특별시 송파구 신천동 7-14 잠실,,,,,N
791,A13706303,방배대우효령,아파트,서울특별시 서초구 효령로 84,서울,서초구,방배동,1038,효령로,84,025251280,025873940,,,분양,위탁관리,계단식,개별난방,6.0,364,대우종합건설,대우건설,1992-11-25 00:00:00.0,38506.0,30908.0,38504.0,0.0,364.0,0.0,,,,2026-02-09 06:03:08.0,90700082211,위탁,종합계약,위탁,4303.0,274.0,의무,2019-06-04 15:17:53.0,Y,N,126.9936334,37.4797613,2013-03-07 09:46:27.0,서울특별시 서초구 방배동 1038,서울특별시 서초구 방배동 산81-1,16.0,,,N
791,A13706303,방배대우효령,아파트,서울특별시 서초구 효령로 84,서울,서초구,방배동,1038,효령로,84,025251280,025873940,,,분양,위탁관리,계단식,개별난방,6.0,364,대우종합건설,대우건설,1992-11-25 00:00:00.0,38506.0,30908.0,38504.0,0.0,364.0,0.0,,,,2026-02-09 06:03:08.0,90700082211,위탁,종합계약,위탁,4303.0,274.0,의무,2019-06-04 15:17:53.0,Y,N,126.9936334,37.4797613,2013-03-07 09:46:27.0,서울특별시 서초구 방배동 1038,서울특별시 서초구 방배동 167-4,145.0,,,N
792,A13583402,대치쌍용2차,아파트,서울특별시 강남구 영동대로 220,서울,강남구,대치동,65번지 쌍용대치2차아파트 관리사무소,영동대로,220,025569768,0262418636,,,분양,위탁관리,계단식,지역난방,4.0,364,쌍용건설,쌍용건설,1983-11-30 00:00:00.0,47180.0,38879.0,47180.0,0.0,140.0,224.0,,,,2026-02-09 06:17:42.0,120-80-002900,위탁,종합계약,위탁,0.0,0.0,의무,2013-06-23 14:25:19.0,Y,N,127.0704457,37.4996197,2013-03-07 09:46:27.0,서울특별시 강남구 대치동 65,서울특별시 강남구 대치동 969,112.0,,,N
793,A12205004,갈현현대아파트,아파트,서울특별시 은평구 서오릉로21길 36,서울,은평구,구산동,382,서오릉로21길,36,023547358,023529429,,,분양,위탁관리,혼합식,개별난방,4.0,366,현대건설,갈현아파트재건축조합,1998-11-28 00:00:00.0,45515.0,28335.0,28335.0,171.0,141.0,54.0,,,,2026-02-09 04:57:58.0,911-01-25120-1,위탁,종합계약,위탁,0.0,366.0,의무,2013-06-04 16:18:51.0,Y,N,126.905638,37.6129617,2013-03-07 09:46:27.0,서울특별시 은평구 구산동 382,서울특별시 은평구 구산동 152-3,80.0,,,N
794,A12103002,신공덕3차삼성래미안,아파트,서울특별시 마포구 만리재로 60,서울,마포구,신공덕동,161번지,만리재로,60,027015478,0264595478,,,분양,위탁관리,계단식,개별난방,6.0,366,삼성물산(주),삼성물산(주),2003-05-20 00:00:00.0,47646.0,29007.0,36786.0,168.0,126.0,72.0,,,,2026-02-09 05:08:39.0,10582619000,위탁,종합계약,위탁,2170.06,411.0,의무,2013-06-23 15:25:13.0,Y,N,126.9569018,37.5454825,2013-03-07 09:46:27.0,서울특별시 마포구 신공덕동 161,서울특별시 마포구 공덕동 256-4,90.0,,,N
